ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Isolasi di Rumah;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3175071001;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;DUREN SAWIT;4345;2;190;3;4150;73;5;0;0;68;93;0;6;87;7021;0;208;6813;78;0;0;78;2915;36;2786;54;39;
3174081004;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;DUREN TIGA;2483;0;108;0;2375;8;2;0;0;6;50;0;0;50;3215;0;110;3105;11;0;0;11;1166;13;1108;21;24;
3173051005;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;DURI KEPA;3875;0;281;2;3592;41;2;0;0;39;60;0;9;51;5120;0;186;4934;81;0;0;81;2087;43;1961;33;50;
3173011002;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;DURI KOSAMBI;4104;0;171;3;3930;8;1;0;0;7;21;0;2;19;5223;0;220;5003;16;0;0;16;2457;79;2282;33;63;
3171011006;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;DURI PULO;1736;1;58;3;1674;4;0;0;0;4;18;0;0;18;2013;0;51;1962;8;0;0;8;771;11;714;16;30;
3173041011;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI SELATAN;1054;0;33;1;1020;1;0;0;0;1;48;0;11;37;967;0;35;932;7;0;0;7;363;5;337;8;13;
3173041003;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI UTARA;1547;0;42;2;1503;3;0;0;0;3;37;0;10;27;1330;0;52;1278;5;0;0;5;582;10;541;15;16;
3171081003;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;GALUR;1383;1;79;0;1303;9;0;0;0;9;14;0;1;13;1774;0;44;1730;58;0;0;58;540;13;503;18;6;
3171011001;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;GAMBIR;880;0;29;0;851;6;0;0;0;6;100;0;13;87;3756;0;101;3655;9;0;0;9;659;9;633;9;8;
3174061004;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;GANDARIA SELATAN;1392;0;69;0;1323;7;1;0;0;6;35;0;6;29;2419;0;79;2340;10;0;0;10;910;4;865;14;27;
